Sample_ID,SOST_Expression,MKI67,Dataset
GSM519410,6.11833082436866,9.510369380629744,GSE20685
GSM519411,1.72969726798813,8.129316310569026,GSE20685
GSM519412,6.00998938528106,8.545299658203877,GSE20685
GSM519413,3.63863963421609,7.13736698731055,GSE20685
GSM519414,4.32636382704908,7.802492442240805,GSE20685
GSM519415,0.999619303067183,7.511146099398523,GSE20685
GSM519416,3.71168972015362,7.682718268579505,GSE20685
GSM519417,5.74241939877022,8.78493269112894,GSE20685
GSM519418,5.61637944128565,9.12419980567741,GSE20685
GSM519419,4.05564395994012,8.183745937835443,GSE20685
GSM519420,5.67296455256418,9.026467292900488,GSE20685
GSM519421,1.09071616293506,8.513685780710246,GSE20685
GSM519422,0.960480518528964,8.545484990037988,GSE20685
GSM519423,2.22402471026701,8.521544398785299,GSE20685
GSM519424,1.05868449154672,8.290704185272741,GSE20685
GSM519425,5.36783741953664,7.832509211602668,GSE20685
GSM519426,2.3407742187934,7.679049963658089,GSE20685
GSM519427,2.98865917937734,6.169016913360212,GSE20685
GSM519428,5.2356399235234,8.039076701032277,GSE20685
GSM519429,0.93958057318582,6.763928579847725,GSE20685
GSM519430,5.09151587995507,7.21648824468127,GSE20685
GSM519431,2.41405652693481,8.40214622411937,GSE20685
GSM519432,2.10639478303739,8.690870239048223,GSE20685
GSM519433,4.03286213129487,7.427026580651705,GSE20685
GSM519434,2.63813200410726,6.77883620735137,GSE20685
GSM519435,5.06504828090182,8.637204913209512,GSE20685
GSM519436,2.07018581413414,8.083732397633172,GSE20685
GSM519437,3.01746156561252,7.605011246533248,GSE20685
GSM519438,3.5367909547068,6.9500483680360325,GSE20685
GSM519439,2.12112067317522,8.482012702637476,GSE20685
GSM519440,5.14502242901919,7.598998627726115,GSE20685
GSM519441,3.18505395505027,7.883407630929572,GSE20685
GSM519442,5.11959942221,6.94822816850962,GSE20685
GSM519443,3.18353304091362,7.106998949476566,GSE20685
GSM781288,2.58,7.919,GSE31448
GSM781289,2.599,8.309000000000001,GSE31448
GSM781290,2.689,7.094250000000001,GSE31448
GSM781291,2.625,7.978750000000001,GSE31448
GSM781292,2.57,7.80575,GSE31448
GSM781293,2.568,7.703749999999999,GSE31448
GSM781294,2.632,7.02025,GSE31448
GSM781295,2.903,7.733,GSE31448
GSM781296,2.722,7.231999999999999,GSE31448
GSM781297,3.081,7.24275,GSE31448
GSM781298,2.725,6.81475,GSE31448
GSM781299,2.602,6.55325,GSE31448
GSM781300,2.511,8.61075,GSE31448
GSM781301,2.87,6.418749999999999,GSE31448
GSM781302,2.531,7.52525,GSE31448
GSM781303,2.465,8.13725,GSE31448
GSM781304,2.694,7.57475,GSE31448
GSM781305,3.302,6.924250000000001,GSE31448
GSM781307,2.727,7.227,GSE31448
GSM781309,2.711,7.90925,GSE31448
GSM781311,2.662,6.760250000000001,GSE31448
GSM781312,2.864,7.47175,GSE31448
GSM781313,2.799,7.3655,GSE31448
GSM781314,3.087,7.60275,GSE31448
GSM781315,3.743,7.84125,GSE31448
GSM781331,2.7,7.338249999999999,GSE31448
GSM781332,2.901,6.295,GSE31448
GSM781333,3.192,7.499,GSE31448
GSM781335,2.616,6.90575,GSE31448
GSM781338,2.573,8.11525,GSE31448
GSM781339,3.02,5.96275,GSE31448
GSM781341,2.475,7.399750000000001,GSE31448
GSM781344,2.692,7.1217500000000005,GSE31448
GSM781346,2.609,7.16925,GSE31448
GSM781352,2.669,8.094999999999999,GSE31448
GSM781354,2.696,7.4475,GSE31448
GSM781360,2.632,6.77825,GSE31448
GSM781361,2.583,5.957,GSE31448
GSM781365,3.104,6.984500000000001,GSE31448
GSM781370,2.888,6.43925,GSE31448
GSM781378,3.281,5.9935,GSE31448
GSM781381,2.978,5.58075,GSE31448
GSM781390,2.561,6.911,GSE31448
GSM781395,2.506,6.50525,GSE31448
GSM781397,2.888,7.78275,GSE31448
GSM781400,2.826,6.5127500000000005,GSE31448
GSM781409,3.108,5.539,GSE31448
GSM781420,2.787,7.74525,GSE31448
GSM781423,2.705,6.64475,GSE31448
GSM781428,2.918,6.6025,GSE31448
GSM781429,2.952,6.771000000000001,GSE31448
GSM781433,3.124,7.174,GSE31448
GSM781450,2.7,6.30375,GSE31448
GSM781451,2.725,6.2915,GSE31448
GSM781452,2.599,7.061249999999999,GSE31448
GSM781462,2.801,7.26625,GSE31448
GSM781463,2.844,7.7085,GSE31448
GSM781468,2.592,6.287,GSE31448
GSM781469,3.084,7.843750000000001,GSE31448
GSM781470,2.965,7.12425,GSE31448
GSM781474,2.563,7.475,GSE31448
GSM781475,2.543,6.236750000000001,GSE31448
GSM781478,2.939,6.681,GSE31448
GSM781481,2.958,7.1295,GSE31448
GSM781485,2.573,7.106999999999999,GSE31448
GSM781487,2.98,7.141,GSE31448
GSM781490,3.02,6.8505,GSE31448
GSM781495,2.689,7.542,GSE31448
GSM781498,2.93,8.348,GSE31448
GSM781503,2.776,5.72575,GSE31448
GSM781504,2.807,6.1855,GSE31448
GSM781506,2.7,7.50775,GSE31448
GSM781514,2.687,8.57675,GSE31448
GSM781516,2.534,8.1195,GSE31448
GSM781519,2.667,8.1265,GSE31448
GSM781522,2.583,8.48975,GSE31448
GSM781537,3.303,7.131499999999999,GSE31448
GSM781543,2.563,6.2467500000000005,GSE31448
GSM781557,2.911,6.86075,GSE31448
GSM781560,3.162,7.4485,GSE31448
GSM781563,2.68,8.26025,GSE31448
GSM781564,2.897,7.01425,GSE31448
GSM781565,2.832,6.65125,GSE31448
GSM781567,2.606,6.827999999999999,GSE31448
GSM781568,2.683,7.082000000000001,GSE31448
GSM781569,2.763,7.1165,GSE31448
GSM781571,2.818,7.301,GSE31448
GSM781572,2.674,7.802249999999999,GSE31448
GSM781573,2.646,6.1965,GSE31448
GSM781574,2.77,8.387,GSE31448
GSM781576,2.772,7.05275,GSE31448
GSM781577,2.683,7.146750000000001,GSE31448
GSM781578,4.228,7.768000000000001,GSE31448
GSM781580,3.013,7.521750000000001,GSE31448
GSM781581,2.632,6.27275,GSE31448
GSM781583,2.678,6.658,GSE31448
GSM781584,2.846,8.287749999999999,GSE31448
GSM781585,2.521,7.26975,GSE31448
GSM1419942,309.8078,105.2523675,GSE58812
GSM1419943,390.4026,493.7102,GSE58812
GSM1419944,1537.991,491.33285,GSE58812
GSM1419945,235.9853,312.7171,GSE58812
GSM1419946,281.122,275.416925,GSE58812
GSM1419947,2375.58,397.75635,GSE58812
GSM1419948,58.79435,375.905125,GSE58812
GSM1419949,165.8717,219.404175,GSE58812
GSM1419950,487.2966,280.406,GSE58812
GSM1419951,75.79829,563.0995,GSE58812
GSM1419952,2348.645,427.01175,GSE58812
GSM1419953,6499.16,625.5322249999999,GSE58812
GSM1419954,793.5153,72.0661625,GSE58812
GSM1419955,4.326199,382.329975,GSE58812
GSM1419956,776.6078,186.71065,GSE58812
GSM1419957,1387.453,247.464825,GSE58812
GSM1419958,1072.407,214.880625,GSE58812
GSM1419968,272.1114,544.9212,GSE58812
GSM1419969,1211.168,843.451125,GSE58812
GSM1419970,5.243104,23.5110905,GSE58812
GSM1419971,1387.204,406.941,GSE58812
GSM1419972,2063.729,672.470225,GSE58812
GSM1419973,4.651118,215.240745,GSE58812
GSM1419974,1019.604,397.3654,GSE58812
GSM1419975,2649.539,367.110975,GSE58812
GSM1419976,1339.735,1027.230875,GSE58812
GSM1419977,103.918,450.793575,GSE58812
GSM1419978,1256.967,522.796475,GSE58812
GSM1419979,105.5102,160.0405275,GSE58812
GSM1419980,2110.959,56.40597,GSE58812
GSM1419981,5891.825,387.9989,GSE58812
GSM1419982,1425.96,165.99665,GSE58812
GSM1419983,1278.483,972.6605,GSE58812
GSM1419984,416.8964,69.8541675,GSE58812
GSM1419985,6253.572,397.028975,GSE58812
GSM1419986,2.111047,827.173375,GSE58812
GSM1419987,1621.908,392.924475,GSE58812
GSM1419988,4667.547,415.3299,GSE58812
GSM1419989,100.7277,42.0234625,GSE58812
GSM1419990,3047.71,305.428925,GSE58812
GSM1419991,883.5732,607.026975,GSE58812
GSM1419992,2941.849,511.836425,GSE58812
GSM1419993,92.97105,253.02355,GSE58812
GSM1419994,82.73861,99.10443,GSE58812
GSM1419995,697.924,224.6552,GSE58812
GSM1419996,2023.174,476.42615,GSE58812
GSM1419997,54.60617,445.556125,GSE58812
GSM1419998,373.1661,516.35315,GSE58812
GSM1419999,400.3708,301.88045,GSE58812
GSM1420000,70.09782,322.427325,GSE58812
GSM1420001,653.1478,388.46425,GSE58812
GSM1420002,390.1072,352.997,GSE58812
GSM1420003,3682.567,246.870325,GSE58812
GSM1420004,146.989,373.4314,GSE58812
GSM1420005,1289.197,522.77725,GSE58812
GSM1420006,71.30997,529.9268500000001,GSE58812
GSM1420007,1165.952,308.1185,GSE58812
GSM1420008,1055.396,771.5164,GSE58812
GSM1420009,694.3569,245.80715,GSE58812
GSM1420010,695.8057,369.2806,GSE58812
GSM1420011,51.24161,344.687,GSE58812
GSM1420012,238.7836,137.56577499999997,GSE58812
GSM1420013,770.7404,415.018925,GSE58812
GSM1420014,3667.732,60.46172,GSE58812
GSM1420015,235.7958,249.8579,GSE58812
GSM1420016,153.0578,289.175525,GSE58812
GSM1420017,24.19287,294.780075,GSE58812
GSM1420018,763.4412,541.2853250000001,GSE58812
GSM1420019,473.7742,244.81235,GSE58812
GSM1420020,3.505192,646.8354750000001,GSE58812
GSM1420021,3042.187,305.349425,GSE58812
GSM1420022,941.2357,411.535525,GSE58812
GSM1420023,4.08911,160.3897975,GSE58812
GSM1420024,301.4534,307.79735,GSE58812
GSM1420025,333.0913,194.411975,GSE58812
GSM1420026,1061.018,1031.5134,GSE58812
GSM1420027,1552.133,519.3584249999999,GSE58812
GSM1420028,68.85193,255.636375,GSE58812
GSM1420029,1247.338,820.484725,GSE58812
GSM1420030,3816.17,175.189775,GSE58812
GSM1420031,6.705211,253.73630000000003,GSE58812
GSM1420032,2975.118,496.35275,GSE58812
GSM1420033,2258.625,580.877375,GSE58812
GSM1420034,71.3584,310.33995,GSE58812
GSM1420035,97.67746,321.747625,GSE58812
GSM1420036,2511.69,612.221325,GSE58812
GSM1420037,3.45355,639.446925,GSE58812
GSM1420038,91.45061,515.5472,GSE58812
GSM1420039,861.7255,783.999475,GSE58812
GSM1420040,455.6407,512.6794,GSE58812
GSM1420041,1988.373,433.069125,GSE58812
GSM1420042,5.713667,297.829225,GSE58812
GSM1420043,1569.428,363.043275,GSE58812
GSM1420044,1701.759,489.11645,GSE58812
GSM1420045,448.53,487.62125,GSE58812
GSM1420046,559.1489,148.25597499999998,GSE58812
GSM1420047,59.21268,533.68475,GSE58812
GSM1420048,2033.173,304.58895,GSE58812
GSM1420049,62.20516,156.7102,GSE58812
GSM1420050,2392.896,498.9164,GSE58812
GSM1420051,1511.619,319.62205,GSE58812
GSM1420052,1373.828,258.97995000000003,GSE58812
GSM1420053,2.049336,396.716425,GSE58812
GSM1420054,36.93518,137.769555,GSE58812
GSM1420055,59.18967,256.449525,GSE58812
GSM1420056,8.695495,350.4518,GSE58812
GSM1420057,624.4708,559.11185,GSE58812
