Sample_ID,SOST_Expression,MKI67,Dataset
GSM540238,2.6,7.0625,GSE21653
GSM540239,2.83,6.1225000000000005,GSE21653
GSM540240,2.98,4.5725,GSE21653
GSM540241,2.65,4.8375,GSE21653
GSM540242,2.84,4.1675,GSE21653
GSM540243,2.79,5.24,GSE21653
GSM540244,2.28,4.2700000000000005,GSE21653
GSM540245,2.74,5.3125,GSE21653
GSM540246,2.62,6.82,GSE21653
GSM540247,2.32,6.125,GSE21653
GSM540248,2.8,7.27,GSE21653
GSM540249,2.84,7.7075,GSE21653
GSM540250,2.7,7.0375,GSE21653
GSM540251,2.51,6.0275,GSE21653
GSM540252,2.78,5.8675,GSE21653
GSM540253,2.75,5.82,GSE21653
GSM540254,2.59,6.29,GSE21653
GSM540255,3.08,7.8475,GSE21653
GSM540256,2.96,7.125,GSE21653
GSM540257,2.81,5.050000000000001,GSE21653
GSM540258,2.87,5.3125,GSE21653
GSM540259,2.83,5.8925,GSE21653
GSM540260,2.56,7.475,GSE21653
GSM540261,2.54,6.2375,GSE21653
GSM540262,2.96,6.43,GSE21653
GSM540263,2.87,4.855,GSE21653
GSM540264,2.94,6.6825,GSE21653
GSM540265,2.62,6.6925,GSE21653
GSM540266,3.09,6.297499999999999,GSE21653
GSM540267,2.96,7.13,GSE21653
GSM540268,2.8,6.5975,GSE21653
GSM540269,2.38,7.414999999999999,GSE21653
GSM540270,2.68,6.6075,GSE21653
GSM540271,2.57,7.109999999999999,GSE21653
GSM540272,3.02,6.0825,GSE21653
GSM540273,2.98,7.140000000000001,GSE21653
GSM540274,2.97,6.41,GSE21653
GSM540275,2.78,5.975,GSE21653
GSM540276,3.02,6.85,GSE21653
GSM540277,2.85,6.8575,GSE21653
GSM540278,2.59,7.715,GSE21653
GSM540279,3.0,5.39,GSE21653
GSM540280,2.65,6.4425,GSE21653
GSM540281,2.87,6.42,GSE21653
GSM540282,2.69,7.545,GSE21653
GSM540283,2.55,7.945,GSE21653
GSM540284,2.71,7.8625,GSE21653
GSM540285,2.93,8.350000000000001,GSE21653
GSM540286,2.47,4.755000000000001,GSE21653
GSM540287,2.53,6.0075,GSE21653
GSM540288,2.66,6.76,GSE21653
GSM540289,2.48,6.5825,GSE21653
GSM540290,2.54,5.2525,GSE21653
GSM540291,2.78,5.725,GSE21653
GSM540292,2.81,6.1875,GSE21653
GSM540293,2.33,3.88,GSE21653
GSM540294,2.7,7.5075,GSE21653
GSM540295,2.56,5.8025,GSE21653
GSM540296,2.5,5.5325,GSE21653
GSM540297,2.58,6.7125,GSE21653
GSM540298,2.9,5.585000000000001,GSE21653
GSM540299,2.67,6.3575,GSE21653
GSM540300,2.51,5.82,GSE21653
GSM540301,2.36,4.0125,GSE21653
GSM540302,2.69,8.5775,GSE21653
GSM540303,2.44,6.2575,GSE21653
GSM540304,2.53,8.12,GSE21653
GSM540305,2.62,5.91,GSE21653
GSM540306,2.37,6.2925,GSE21653
GSM540307,2.67,8.125,GSE21653
GSM540308,2.61,4.9825,GSE21653
GSM540309,2.77,7.6925,GSE21653
GSM540310,2.58,8.4925,GSE21653
GSM540311,2.48,7.015000000000001,GSE21653
GSM540312,2.71,6.91,GSE21653
GSM540313,2.57,6.0725,GSE21653
GSM540314,2.93,5.1075,GSE21653
GSM540315,2.58,5.359999999999999,GSE21653
GSM540316,2.6,7.1575,GSE21653
GSM540317,3.02,5.18,GSE21653
GSM540318,3.08,6.0975,GSE21653
GSM540319,3.13,4.8275,GSE21653
GSM540320,3.13,5.5375,GSE21653
GSM540321,3.0,5.695,GSE21653
GSM540322,3.1,5.192500000000001,GSE21653
GSM540323,3.2,6.494999999999999,GSE21653
GSM540324,3.17,5.8425,GSE21653
GSM540325,3.3,7.13,GSE21653
GSM540326,2.61,5.3675,GSE21653
GSM540327,2.81,6.4725,GSE21653
GSM540328,2.54,4.58,GSE21653
GSM540329,2.68,5.4,GSE21653
GSM540330,2.84,4.085,GSE21653
GSM540331,2.56,6.2475000000000005,GSE21653
GSM540332,2.58,6.44,GSE21653
GSM540333,2.73,6.3775,GSE21653
GSM540334,2.48,5.359999999999999,GSE21653
GSM540335,2.63,4.9525,GSE21653
GSM540336,2.54,7.18,GSE21653
GSM540337,2.51,4.535,GSE21653
GSM540338,2.82,5.200000000000001,GSE21653
GSM540339,2.97,5.4375,GSE21653
GSM540340,2.73,5.924999999999999,GSE21653
GSM540341,2.68,5.484999999999999,GSE21653
GSM540342,2.74,7.1425,GSE21653
GSM540343,2.81,7.02,GSE21653
GSM540344,2.7,5.3925,GSE21653
GSM540345,2.91,6.862500000000001,GSE21653
GSM540346,2.7,5.1275,GSE21653
GSM540347,2.85,6.42,GSE21653
GSM540348,3.16,7.4475,GSE21653
GSM540349,2.68,7.725,GSE21653
GSM540350,2.69,6.2475000000000005,GSE21653
GSM540351,2.68,8.2625,GSE21653
GSM540352,2.9,7.015,GSE21653
GSM540353,2.83,6.65,GSE21653
GSM540354,3.07,6.585,GSE21653
GSM540355,2.61,6.825,GSE21653
GSM540356,2.68,7.0825,GSE21653
GSM540357,2.76,7.115,GSE21653
GSM540358,3.14,6.3975,GSE21653
GSM540359,2.82,7.300000000000001,GSE21653
GSM540360,2.67,7.8025,GSE21653
GSM540361,2.65,6.1975,GSE21653
GSM540362,2.77,8.385,GSE21653
GSM540363,2.74,6.845000000000001,GSE21653
GSM540364,2.77,7.0525,GSE21653
GSM540365,2.68,7.145,GSE21653
GSM540366,4.23,7.7675,GSE21653
